Timestamp_ms,Task_Name,Priority_or_Deadline,Exec_Time_ms
3037,TempTask,SAME,8
3051,GasTask,SAME,15
4045,TempTask,SAME,8
4066,GasTask,SAME,15
5053,TempTask,SAME,8
5081,GasTask,SAME,15
6061,TempTask,SAME,8
6096,GasTask,SAME,15
7069,TempTask,SAME,8
7111,GasTask,SAME,15
8077,TempTask,SAME,8
8126,GasTask,SAME,15
9085,TempTask,SAME,8
9141,GasTask,SAME,15
10093,TempTask,SAME,8
10156,GasTask,SAME,15
11101,TempTask,SAME,8
11171,GasTask,SAME,15
12109,TempTask,SAME,8
12186,GasTask,SAME,15
13117,TempTask,SAME,8
13201,GasTask,SAME,15
14125,TempTask,SAME,8
14216,GasTask,SAME,15
15133,TempTask,SAME,8
15231,GasTask,SAME,15
16141,TempTask,SAME,8
16246,GasTask,SAME,15
17149,TempTask,SAME,8
17261,GasTask,SAME,15
18157,TempTask,SAME,8
18276,GasTask,SAME,15
19165,TempTask,SAME,8
19291,GasTask,SAME,15
20173,TempTask,SAME,8
20306,GasTask,SAME,15
21181,TempTask,SAME,8
21321,GasTask,SAME,15
22189,TempTask,SAME,8
22336,GasTask,SAME,15
23197,TempTask,SAME,8
23351,GasTask,SAME,15
24205,TempTask,SAME,8
24366,GasTask,SAME,15
25213,TempTask,SAME,8
25381,GasTask,SAME,15
26221,TempTask,SAME,8
26396,GasTask,SAME,15
27229,TempTask,SAME,8
27411,GasTask,SAME,15
28237,TempTask,SAME,8
28426,GasTask,SAME,15
29245,TempTask,SAME,8
29441,GasTask,SAME,15
30253,TempTask,SAME,8
30456,GasTask,SAME,15
31261,TempTask,SAME,8
31471,GasTask,SAME,15
32269,TempTask,SAME,8
32486,GasTask,SAME,15
33277,TempTask,SAME,8
33501,GasTask,SAME,15
34285,TempTask,SAME,8
34516,GasTask,SAME,15
35293,TempTask,SAME,8
35531,GasTask,SAME,15
36301,TempTask,SAME,8
36546,GasTask,SAME,15
37309,TempTask,SAME,8
37561,GasTask,SAME,15
38317,TempTask,SAME,8
38576,GasTask,SAME,15
39325,TempTask,SAME,8
39591,GasTask,SAME,15
40333,TempTask,SAME,8
40606,GasTask,SAME,15
41341,TempTask,SAME,8
41621,GasTask,SAME,15
42349,TempTask,SAME,8
42636,GasTask,SAME,15
43357,TempTask,SAME,8
43651,GasTask,SAME,15
44365,TempTask,SAME,8
44666,GasTask,SAME,15
45373,TempTask,SAME,8
45681,GasTask,SAME,15
46381,TempTask,SAME,8
46696,GasTask,SAME,15
47389,TempTask,SAME,8
47711,GasTask,SAME,15
48397,TempTask,SAME,8
48726,GasTask,SAME,15
49405,TempTask,SAME,8
49741,GasTask,SAME,15
50413,TempTask,SAME,8
50756,GasTask,SAME,15
51421,TempTask,SAME,8
51771,GasTask,SAME,15
52429,TempTask,SAME,8
52786,GasTask,SAME,15
53437,TempTask,SAME,8
53801,GasTask,SAME,15
54445,TempTask,SAME,8
54816,GasTask,SAME,15
55453,TempTask,SAME,8
55831,GasTask,SAME,15
56461,TempTask,SAME,8
56846,GasTask,SAME,15
57469,TempTask,SAME,8
57861,GasTask,SAME,15
58477,TempTask,SAME,8
58876,GasTask,SAME,15
59485,TempTask,SAME,8
59891,GasTask,SAME,15
60493,TempTask,SAME,8
60906,GasTask,SAME,15
61501,TempTask,SAME,8
61921,GasTask,SAME,15
62509,TempTask,SAME,8
62936,GasTask,SAME,15
63517,TempTask,SAME,8
63951,GasTask,SAME,15
64525,TempTask,SAME,8
64966,GasTask,SAME,15
65533,TempTask,SAME,8
65981,GasTask,SAME,15
66541,TempTask,SAME,8
66996,GasTask,SAME,15
67549,TempTask,SAME,8
68011,GasTask,SAME,15
68557,TempTask,SAME,8
69026,GasTask,SAME,15
69565,TempTask,SAME,8
70041,GasTask,SAME,15
70573,TempTask,SAME,8
71056,GasTask,SAME,15
71581,TempTask,SAME,8
72071,GasTask,SAME,15
72589,TempTask,SAME,8
73086,GasTask,SAME,15
73597,TempTask,SAME,8
74101,GasTask,SAME,15
74605,TempTask,SAME,8
75116,GasTask,SAME,15
75613,TempTask,SAME,8
76131,GasTask,SAME,15
76621,TempTask,SAME,8
77146,GasTask,SAME,15
77629,TempTask,SAME,8
78161,GasTask,SAME,15
78637,TempTask,SAME,8
79176,GasTask,SAME,15
79645,TempTask,SAME,8
80191,GasTask,SAME,15
80653,TempTask,SAME,8
